Sommets,Densite,Type,Temps_Dijkstra_us,Temps_BellmanFord_us,Temps_FloydWarshall_us
10,0.10,Sparse,18.00,72.00,38.00
10,0.30,Medium,56.00,93.00,23.00
10,0.70,Dense,60.00,111.00,24.00
20,0.10,Sparse,225.00,1066.00,136.00
20,0.30,Medium,374.00,1192.00,132.00
20,0.70,Dense,322.00,1283.00,132.00
30,0.10,Sparse,754.00,5056.00,311.00
30,0.30,Medium,978.00,5548.00,360.00
30,0.70,Dense,947.00,5802.00,386.00
50,0.10,Sparse,3309.00,34705.00,1052.00
50,0.30,Medium,2965.00,19177.00,658.00
50,0.70,Dense,1742.00,19546.00,683.00
75,0.10,Sparse,4557.00,83373.00,1991.00
75,0.30,Medium,6328.00,85507.00,2127.00
75,0.70,Dense,6118.00,96212.00,2185.00
100,0.10,Sparse,11167.00,295188.00,4700.00
100,0.30,Medium,13308.00,403736.00,6173.00
100,0.70,Dense,15817.00,435490.00,4991.00
150,0.10,Sparse,31986.00,1740786.00,15054.00
150,0.30,Medium,37611.00,2749756.00,16105.00
150,0.70,Dense,37631.00,2729558.00,16192.00
200,0.10,Sparse,70207.00,5798080.00,35944.00
200,0.30,Medium,82178.00,9476306.00,37017.00
200,0.70,Dense,84015.00,9436363.00,37453.00
