Taille,Type,Hauteur_Equilibre,Hauteur_Sequentiel,Temps_Insertion_Equilibre,Temps_Insertion_Sequentiel,Temps_Recherche_Equilibre,Temps_Recherche_Sequentiel
100,aleatoire,6,10,25.00,34.00,13.00,14.00
200,aleatoire,7,16,34.00,44.00,25.00,31.00
500,aleatoire,8,15,96.00,128.00,76.00,80.00
1000,aleatoire,9,22,162.00,236.00,153.00,183.00
2000,aleatoire,10,25,111.00,176.00,110.00,135.00
5000,aleatoire,12,28,402.00,528.00,447.00,418.00
10000,aleatoire,13,34,507.00,1607.00,793.00,1039.00
20000,aleatoire,14,31,1155.00,2686.00,2305.00,2245.00
50000,aleatoire,15,40,3196.00,8100.00,4575.00,7055.00
100,croissant,6,99,8.00,24.00,3.00,23.00
200,croissant,7,199,11.00,114.00,7.00,96.00
500,croissant,8,499,26.00,170.00,13.00,162.00
1000,croissant,9,999,53.00,660.00,30.00,670.00
2000,croissant,10,1999,123.00,3823.00,78.00,3388.00
5000,croissant,12,4999,307.00,21776.00,191.00,21384.00
10000,croissant,13,9999,529.00,86291.00,374.00,85761.00
20000,croissant,14,19999,1392.00,317140.00,1312.00,316771.00
50000,croissant,15,49999,3822.00,2058200.00,2491.00,2091354.00
100,decroissant,6,99,6.00,8.00,2.00,7.00
200,decroissant,7,199,8.00,28.00,4.00,26.00
500,decroissant,8,499,24.00,170.00,14.00,157.00
1000,decroissant,9,999,45.00,1366.00,28.00,854.00
2000,decroissant,10,1999,124.00,3618.00,84.00,3605.00
5000,decroissant,12,4999,381.00,23528.00,195.00,21382.00
10000,decroissant,13,9999,547.00,81822.00,438.00,83719.00
20000,decroissant,14,19999,1885.00,323759.00,1678.00,327157.00
50000,decroissant,15,49999,3653.00,2054273.00,2747.00,2102465.00
