Taille,Type,Temps_Direct,Temps_Insertion
1000,aleatoire,75.00,79.00
5000,aleatoire,287.00,435.00
10000,aleatoire,567.00,1210.00
20000,aleatoire,1477.00,2318.00
50000,aleatoire,3599.00,5142.00
100000,aleatoire,6616.00,9648.00
200000,aleatoire,9316.00,13330.00
500000,aleatoire,14475.00,15913.00
1000000,aleatoire,23228.00,31441.00
1000,croissant,17.00,75.00
5000,croissant,84.00,456.00
10000,croissant,168.00,1258.00
20000,croissant,309.00,2231.00
50000,croissant,760.00,6176.00
100000,croissant,1542.00,13940.00
200000,croissant,3127.00,28574.00
500000,croissant,8265.00,78323.00
1000000,croissant,17124.00,164565.00
1000,decroissant,5.00,3.00
5000,decroissant,20.00,17.00
10000,decroissant,39.00,33.00
20000,decroissant,78.00,64.00
50000,decroissant,205.00,172.00
100000,decroissant,379.00,328.00
200000,decroissant,797.00,716.00
500000,decroissant,2113.00,1742.00
1000000,decroissant,4277.00,3554.00
