Sommets,Densite,Type,Temps_Prim,Temps_Kruskal
50,0.1,Sparse,0.06,0.06
50,0.3,Medium,0.07,0.13
50,0.7,Dense,0.10,0.27
100,0.1,Sparse,0.18,0.17
100,0.3,Medium,0.23,0.57
100,0.7,Dense,0.31,1.06
200,0.1,Sparse,0.47,0.56
200,0.3,Medium,0.70,1.80
200,0.7,Dense,1.13,3.88
500,0.1,Sparse,2.21,2.88
500,0.3,Medium,8.92,10.83
500,0.7,Dense,13.21,14.46
1000,0.1,Sparse,10.86,7.51
1000,0.3,Medium,29.26,25.18
1000,0.7,Dense,110.99,60.08
2000,0.1,Sparse,58.37,33.46
2000,0.3,Medium,225.62,101.76
2000,0.7,Dense,534.42,259.14
